Year,5th,25th,50th,75th,95th,Mean
8.0,228944.3298766577,279140.9034019329,325890.8826428945,388989.5499327766,499908.22478936677,339990.3918146737
8.083333333333334,230160.57797663598,282038.6082171652,330623.53815794433,391551.37362186296,503309.1947252288,343901.10770377883
8.166666666666666,233478.8618973783,283603.7461662672,338290.8441552661,400397.00137868046,515295.53333407425,348958.9790680589
8.25,235750.30720395147,289806.45390847034,343481.5524968182,405023.22536932083,510815.5725170137,353026.5706355346
8.333333333333334,235773.6951850126,288322.0585193615,345842.30340913037,405301.4869995039,520919.40164571087,356403.3655923826
8.416666666666666,235670.05770351907,293387.05098383623,350651.66660974594,412221.5452289649,519301.3284729854,360503.44056187215
8.5,236373.71707950148,297792.2845416267,353358.15964961343,419998.6923907732,531691.2642020289,364820.43205948314
8.583333333333334,239203.05704194724,298049.60846739163,355056.97655956453,423573.1572566088,535375.9212155617,368234.5057674701
8.666666666666666,244249.00665634242,299418.74447807705,355088.1421193155,429685.51638657064,542058.1035912714,371557.93372892117
8.75,247419.18299259568,304477.47722286626,362047.4914618343,434910.52500653255,553699.4932896139,376053.44303640974
8.833333333333334,250698.58560721224,306092.47359417897,365938.62224620476,437475.9719213388,563940.0075061072,379170.10712367663
8.916666666666666,252296.47977277264,310537.5413919359,369424.8712588106,439784.2952388722,566947.7303636144,383995.97696204623
9.0,251912.55413031267,313297.3950148764,372379.9130682039,441330.541409695,570329.7456406022,387488.162179448
9.083333333333334,253607.88663746684,315728.0476818803,377431.79951354937,449207.00990851584,571744.6835168097,390883.1159936715
9.166666666666666,258250.87117991628,318257.18132981623,381874.521639631,450633.63548373815,581069.1397827598,394505.67463234207
9.25,260297.57535581052,321067.94957791513,386785.866033909,458749.04853182496,579947.2136984445,398259.4132639602
9.333333333333334,261506.9548283107,324264.8588210552,390102.0099758406,465018.39901233366,588735.1256643658,402274.667317474
9.416666666666666,266429.6750214767,328120.75824314915,396327.91231872945,468491.0078785892,587418.8903432146,406505.7732258149
9.5,267530.5472203009,333382.7880692058,403092.8699137104,472143.6775674388,598143.63499248,410250.115356012
9.583333333333334,269319.6600365488,338908.14891291945,405020.85024621896,475688.60275810957,605181.5267855577,414965.8683290406
9.666666666666666,270543.595022559,343844.0991937335,407731.22920429957,477611.35109684354,618244.4251820749,418906.24129658024
9.75,272250.4468522771,343297.96941779513,409637.1389765441,485313.8113903694,629449.2722649046,422858.8077497283
9.833333333333334,276857.1341334499,348925.9795316451,413220.53802588995,486048.145823115,637000.5529910828,427049.2941201679
9.916666666666666,278367.2835069669,350350.62306115456,417700.43814797106,494084.48647757136,647559.1172471119,431166.53656280186
10.0,279074.43458861625,354764.45880541566,418612.61205581296,499328.01490009594,653479.3420870481,435117.7767638183
10.083333333333334,281684.7448413717,357143.36448369815,420787.62487637426,508219.4306023774,654067.4695434428,439715.05991471536
10.166666666666666,284810.11291830055,361951.0348558803,422943.6832538799,509591.92574916524,663011.539867045,443377.5484204798
10.25,288139.4050443269,361228.1445995425,427391.633580983,517732.6444737894,671248.2873538007,447041.0081548686
10.333333333333334,282552.464095588,361775.5093970705,432552.30410487263,521565.2161551444,676403.1696264381,451483.3285973047
10.416666666666666,284402.1322359428,367091.53875113826,438682.3692064928,532589.1731669486,680088.4825753513,456834.08590507763
10.5,290739.2622739928,369268.6435017643,442648.09223863203,533646.9142479276,686462.1095683413,461815.30236735876
10.583333333333334,294957.4303989187,373169.60415089095,444396.1654822078,537229.2661509353,692802.631748767,466529.7720255338
10.666666666666666,297583.5845710809,373957.31918337685,450904.7250963205,546709.2981072415,703679.1137928854,471459.46262927237
10.75,302640.30887617834,378970.09758602944,462134.6207025229,552003.1427016129,705076.7813415164,476320.17101379455
10.833333333333334,299980.3972011377,382628.71918763325,460450.3565700938,555712.9268040169,710635.7914935498,480427.517370214
10.916666666666666,303613.99360842694,385913.8820208719,465551.06764127396,563294.3338587219,729907.0709031632,485444.5500499323
11.0,304137.3061963034,390454.73303019686,469644.4386762697,565581.8017597639,735495.6279776554,490258.8502772346
11.083333333333334,308868.8488150432,389554.6273641164,474929.24362339056,572078.4983566708,738485.2762000847,495242.37887930375
11.166666666666666,309336.2727997561,396930.7471689173,482428.79970413545,579198.0372283483,745325.0292369585,500734.10422118113
11.25,316341.52046971774,394756.95548296697,484669.5876700455,587934.9275569926,746691.9614075326,505147.43598415266
11.333333333333334,316059.82701865095,399680.6481870308,493832.6122846506,594363.3156332732,759459.7399758486,509886.09316400986
11.416666666666666,324213.0029914004,399907.4221086403,497441.9851328841,598968.7126094289,767957.1928822057,513368.3275541906
11.5,329238.885704462,402034.07152694254,502787.26684281026,607272.5142869926,778660.2423600553,517909.8023203663
11.583333333333334,325283.9789217686,404158.99662329024,503787.1421859255,604742.3361226637,788796.4307192849,523231.9488829197
11.666666666666666,327514.423939252,410721.960694191,508729.424598903,613778.2134569937,803781.9185923067,527269.8183048086
11.75,333703.7966240399,412782.9760461939,513087.43428050744,618074.5336450351,814090.0478879572,531908.3952967923
11.833333333333334,328485.9808919659,414264.01136045594,516220.05870639835,625427.9718528476,817530.2351250253,537779.3075654652
11.916666666666666,333573.5464557879,425164.3983615349,523551.1462122192,631824.9562086187,814202.8543942213,542635.6847303404
12.0,336415.0431581301,431916.20569518267,524096.4255119163,641271.7986143054,818768.740707446,546494.3425026475
12.083333333333334,333341.262283271,430932.4386729793,530699.39522614,643801.2026916865,836560.3848487253,551127.5581605885
12.166666666666666,339488.986768799,432986.4944546151,531632.6757935956,648756.3156763765,851538.8286108907,558155.4349350292
12.25,344082.45185849833,443575.44128801726,533508.6261765491,658468.0678378695,874564.2983601025,565053.2024131281
12.333333333333334,338362.9386215502,449345.8302525003,541935.788127495,661989.880583586,870324.4643701378,568983.6242527155
12.416666666666666,347048.3984715656,453221.60968186875,544088.7629127507,661158.1309735744,876110.9823821384,574131.8954852822
